"response","name","crp_id","cycle","state","party","chamber","first_elected","next_election","total","spent","cash_on_hand","debt","origin","source","last_updated"
"@attributes","Ackerman, Gary","N00001143","2012","NY","D","H","1983","2012","413789.72","415917.7","499906.04","0","Center for Responsive Politics","http://www.opensecrets.org/politicians/summary.php?cid=N00001143&cycle=2012","12/31/2011"
"@attributes","Adams, Sandy","N00030926","2012","FL","R","H","2010","2012","900863.56","875765.11","87211.65","100000","Center for Responsive Politics","http://www.opensecrets.org/politicians/summary.php?cid=N00030926&cycle=2012","12/31/2012"
"@attributes","Aderholt, Robert B","N00003028","2012","AL","R","H","1996","2012","1248945.28","1141724.52","153830.09","0","Center for Responsive Politics","http://www.opensecrets.org/politicians/summary.php?cid=N00003028&cycle=2012","12/31/2012"
"@attributes","Akaka, Daniel K","N00007653","2012","HI","D","S","1990","2012","271210","322508","29143","0","Center for Responsive Politics","http://www.opensecrets.org/politicians/summary.php?cid=N00007653&cycle=2012","09/30/2011"
"@attributes","Akin, Todd","N00009677","2012","MO","R","H","2000","2012","5676248.45","6165887.94","42486","239779","Center for Responsive Politics","http://www.opensecrets.org/politicians/summary.php?cid=N00009677&cycle=2012","12/31/2012"
"@attributes","Alexander, Lamar","N00009888","2012","TN","R","S","2002","2014","6372925","5602058","1010758","0","Center for Responsive Politics","http://www.opensecrets.org/politicians/summary.php?cid=N00009888&cycle=2012","12/31/2012"
"@attributes","Alexander, Rodney","N00025464","2012","LA","R","H","2002","2012","1375551.28","1132954.63","244645.06","0","Center for Responsive Politics","http://www.opensecrets.org/politicians/summary.php?cid=N00025464&cycle=2012","12/31/2012"
"@attributes","Altmire, Jason","N00027664","2012","PA","D","H","2006","2012","1636260.54","1643917.92","2006.58","0","Center for Responsive Politics","http://www.opensecrets.org/politicians/summary.php?cid=N00027664&cycle=2012","09/13/2012"
"@attributes","Amash, Justin","N00031938","2012","MI","R","H","2010","2012","1313802.88","1193610.96","77843.52","100000","Center for Responsive Politics","http://www.opensecrets.org/politicians/summary.php?cid=N00031938&cycle=2012","12/31/2012"
"@attributes","Amodei, Mark","N00031177","2012","NV","R","H","2011","2012","1313852.15","1129925.9","188551.25","19000","Center for Responsive Politics","http://www.opensecrets.org/politicians/summary.php?cid=N00031177&cycle=2012","12/31/2012"
